Id,GrLivArea,BedroomAbvGr,FullBath,TotRmsAbvGrd,LotArea,OverallQual,OverallCond,TotalBsmtSF,1stFlrSF,SalePrice
1,1710,3,2,8,8450,7,5,856,856,208500
2,1262,3,2,6,9600,6,8,1262,1262,181500
3,1786,3,2,6,11250,7,5,920,920,223500
4,1717,3,1,7,9550,7,5,756,961,140000
5,2198,4,2,9,14260,8,5,1145,1145,250000
6,1362,1,1,5,14115,5,5,796,796,143000
7,1694,3,2,7,10084,8,5,1686,1694,307000
8,2090,3,2,7,10382,7,6,1107,1107,200000
9,1774,2,2,8,6120,7,5,952,1022,129900
10,1077,2,1,5,7420,5,6,991,1077,118000
11,1040,3,1,5,11200,5,5,1040,1040,129500
12,2324,4,3,11,11924,9,5,1175,1182,345000
13,912,2,1,4,12968,5,6,912,912,144000
14,1494,3,2,7,10652,7,5,1494,1494,279500
15,1253,2,1,5,10920,6,5,1253,1253,157000
16,854,2,1,5,6120,7,8,832,854,132000
17,1004,2,1,5,11241,6,7,1004,1004,149000
18,1296,2,2,6,10791,4,5,0,1296,90000
19,1114,3,1,6,13695,5,5,1114,1114,159000
20,1339,3,1,6,7560,5,6,1029,1339,139000
21,2376,4,3,9,14215,8,5,1158,1158,325300
22,1108,3,1,6,7449,7,7,637,1108,139400
23,1795,3,2,7,9742,8,5,1777,1795,230000
24,1060,3,1,6,4224,5,7,1040,1060,129900
25,1060,3,1,6,8246,5,8,1060,1060,154000
26,1600,3,2,7,14230,8,5,1566,1600,256300
27,900,3,1,5,7200,5,7,900,900,134800
28,1704,3,2,7,11478,8,5,1704,1704,306000
29,1600,2,1,6,16321,5,6,1484,1600,207500
30,520,1,1,4,6324,4,6,520,520,68500
31,1317,3,1,6,8500,4,4,649,649,40000
32,1228,3,1,6,8544,5,6,1228,1228,149350
33,1234,3,2,7,11049,8,5,1234,1234,179900
34,1700,4,1,6,10552,5,5,1398,1700,165500
35,1561,2,2,6,7313,9,5,1561,1561,277500
36,2452,4,3,9,13418,8,5,1117,1132,309000
37,1097,3,1,6,10859,5,5,1097,1097,145000
38,1297,3,1,5,8532,5,6,1297,1297,153000
39,1057,3,1,5,7922,5,7,1057,1057,109000
40,1152,2,2,6,6040,4,5,0,1152,82000
41,1324,3,2,6,8658,6,5,1088,1324,160000
42,1328,2,1,5,16905,5,6,1350,1328,170000
43,884,2,1,5,9180,5,7,840,884,144000
44,938,3,1,5,9200,5,6,938,938,130250
45,1150,3,1,6,7945,5,6,1150,1150,141000
46,1752,2,2,6,7658,9,5,1752,1752,319900
47,2149,1,1,6,12822,7,5,1434,1518,239686
48,1656,3,2,7,11096,8,5,1656,1656,249700
49,1452,2,2,8,4456,4,5,736,736,113000
50,955,3,1,6,7742,5,7,955,955,127000
51,1470,3,2,6,13869,6,6,794,794,177000
52,1176,3,1,6,6240,6,6,816,816,114500
53,816,2,1,5,8472,5,5,816,816,110000
54,1842,0,0,5,50271,9,5,1842,1842,385000
55,1360,3,1,6,7134,5,5,384,1360,130000
56,1425,3,2,7,10175,6,5,1425,1425,180500
57,1739,3,2,7,2645,8,5,970,983,172500
58,1720,3,2,7,11645,7,5,860,860,196500
59,2945,3,3,10,13682,10,5,1410,1426,438780
60,780,2,1,4,7200,5,7,780,780,124900
61,1158,3,1,5,13072,6,5,1158,1158,158000
62,1111,3,1,6,7200,5,7,530,581,101000
63,1370,2,2,6,6442,8,5,1370,1370,202500
64,1710,3,2,9,10300,7,6,576,902,140000
65,2034,3,2,8,9375,7,5,1057,1057,219500
66,2473,4,2,9,9591,8,5,1143,1143,317000
67,2207,3,2,7,19900,7,5,1947,2207,180000
68,1479,3,2,7,10665,7,5,1453,1479,226000
69,747,2,1,4,4608,4,6,747,747,80000
70,2287,3,2,7,15593,7,4,1304,1304,225000
71,2223,3,2,8,13651,7,6,2223,2223,244000
72,845,2,1,4,7599,4,6,845,845,129500
73,1718,3,2,7,10141,7,5,832,885,185000
74,1086,3,1,6,10200,5,7,1086,1086,144900
75,1605,3,2,8,5790,3,6,840,840,107400
76,988,2,1,5,1596,4,5,462,526,91000
77,952,2,1,4,8475,4,7,952,952,135750
78,1285,2,1,6,8635,5,5,672,1072,127000
79,1768,4,2,8,10778,4,5,1768,1768,136500
80,1230,2,1,5,10440,5,6,440,682,110000
81,2142,4,2,8,13000,6,6,896,1182,193500
82,1337,2,2,5,4500,6,5,1237,1337,153500
83,1563,3,2,6,10206,8,5,1563,1563,245000
84,1065,3,1,6,8892,5,5,1065,1065,126500
85,1474,3,2,7,8530,7,5,384,804,168500
86,2417,4,2,9,16059,8,5,1288,1301,260000
87,1560,3,2,6,11911,6,5,684,684,174000
88,1224,2,2,4,3951,6,5,612,612,164500
89,1526,2,1,6,8470,3,2,1013,1013,85000
90,990,3,1,5,8070,4,5,990,990,123600
91,1040,2,1,4,7200,4,5,0,1040,109900
92,1235,2,1,6,8500,5,3,1235,1235,98600
93,964,2,1,5,13360,5,7,876,964,163500
94,2291,4,2,9,7200,6,6,1214,1260,133900
95,1786,3,2,7,9337,6,5,824,905,204750
96,1470,3,2,6,9765,6,8,680,680,185000
97,1588,3,2,6,10264,7,5,1588,1588,214000
98,960,3,1,6,10921,4,5,960,960,94750
99,835,2,1,5,10625,5,5,458,835,83000
100,1225,3,1,6,9320,4,5,950,1225,128950
101,1610,3,2,6,10603,6,7,1610,1610,205000
102,1732,3,2,7,9206,6,5,741,977,178000
103,1535,4,2,8,7018,5,5,0,1535,118964
104,1226,3,2,6,10402,7,5,1226,1226,198900
105,1818,4,1,7,7758,7,4,1040,1226,169500
106,1992,3,2,9,9375,8,5,1053,1053,250000
107,1047,2,1,6,10800,4,7,641,1047,100000
108,789,2,1,5,6000,5,5,789,789,115000
109,1517,3,2,7,8500,5,7,793,997,115000
110,1844,3,2,7,11751,6,6,1844,1844,190000
111,1855,4,2,7,9525,6,4,994,1216,136900
112,1430,3,2,7,7750,7,5,384,774,180000
113,2696,4,2,10,9965,7,5,1264,1282,383970
114,2259,3,2,7,21000,6,5,1809,2259,217000
115,2320,3,2,9,7259,6,8,1028,1436,259500
116,1458,2,2,5,3230,6,5,729,729,176000
117,1092,3,1,6,11616,5,5,1092,1092,139000
118,1125,2,1,5,8536,5,5,1125,1125,155000
119,3222,5,3,11,12376,7,5,1673,1699,320000
120,1456,3,2,8,8461,6,5,728,728,163990
121,988,1,1,4,21453,6,5,938,988,180000
122,1123,3,1,4,6060,4,5,732,772,100000
123,1080,3,1,5,9464,6,7,1080,1080,136000
124,1199,2,2,5,7892,6,5,1199,1199,153900
125,1586,3,2,7,17043,6,5,1362,1586,181000
126,754,2,1,5,6780,6,8,520,520,84500
127,958,2,2,5,4928,6,5,1078,958,128000
128,840,3,1,5,4388,5,7,672,840,87000
129,1348,3,1,6,7590,6,5,660,660,155000
130,1053,3,1,6,8973,5,7,1008,1053,150000
131,2157,4,2,8,14200,7,6,924,1216,226000
132,2054,3,2,7,12224,6,5,992,1022,244000
133,1327,3,1,7,7388,5,6,1063,1327,150750
134,1296,2,2,6,6853,8,5,1267,1296,220000
135,1721,3,2,7,10335,5,6,1461,1721,180000
136,1682,3,2,7,10400,7,6,1304,1682,174000
137,1214,3,2,5,10355,5,5,1214,1214,143000
138,1959,5,3,9,11070,7,5,1907,1959,171000
139,1852,3,2,7,9066,8,5,1004,1004,230000
140,1764,3,2,7,15426,6,5,928,928,231500
141,864,3,1,5,10500,4,5,864,864,115000
142,1734,3,2,7,11645,7,5,1734,1734,260000
143,1385,4,2,6,8520,5,4,910,910,166000
144,1501,3,2,6,10335,7,5,1490,1501,204000
145,1728,6,2,10,9100,5,5,1728,1728,125000
146,1709,3,2,7,2522,6,5,970,970,130000
147,875,2,1,5,6120,5,7,715,875,105000
148,2035,3,2,8,9505,7,5,884,884,222500
149,1080,3,1,6,7500,7,5,1080,1080,141000
150,1344,3,1,7,6240,5,4,896,896,115000
151,969,3,1,5,10356,5,6,969,969,122000
152,1710,2,2,6,13891,8,5,1710,1710,372402
153,1993,4,2,8,14803,6,5,825,1097,190000
154,1252,1,1,4,13500,6,7,1602,1252,235000
155,1200,4,1,7,11340,6,5,1200,1200,125000
156,1096,2,1,5,9600,6,5,572,572,79000
157,1040,2,1,5,7200,5,7,0,1040,109500
158,1968,4,2,8,12003,8,5,774,774,269500
159,1947,3,2,8,12552,7,5,991,991,254900
160,2462,4,2,9,19378,7,5,1392,1392,320000
161,1232,3,2,6,11120,6,6,1232,1232,162500
162,2668,3,2,10,13688,9,5,1572,1572,412500
163,1541,3,2,7,12182,7,5,1541,1541,220000
164,882,1,1,4,5500,4,6,882,882,103200
165,1616,3,2,5,5400,6,7,1149,1149,152000
166,1355,4,2,6,10106,5,7,644,808,127500
167,1867,2,1,7,10708,5,5,1617,1867,190000
168,2161,3,1,8,10562,8,5,1582,1610,325624
169,1720,3,2,7,8244,7,5,840,840,183500
170,1707,2,2,6,16669,8,6,1686,1707,228000
171,1382,2,1,7,12358,5,6,720,854,128500
172,1656,3,1,7,31770,6,5,1080,1656,215000
173,1767,2,2,5,5306,7,7,1064,1064,239000
174,1362,3,1,6,10197,6,5,1362,1362,163000
175,1651,3,2,7,12416,6,5,1606,1651,184000
176,2158,4,2,7,12615,6,7,1202,2158,243000
177,2060,4,2,8,10029,6,5,1151,1164,211000
178,1920,4,2,8,13650,5,5,1052,1252,172500
179,2234,1,2,9,17423,9,5,2216,2234,501837
180,968,2,1,5,8520,5,6,968,968,100000
181,1525,3,2,5,2117,6,5,756,769,177000
182,1802,4,1,9,7588,7,6,793,901,200100
183,1340,3,1,7,9060,5,6,0,1340,120000
184,2082,3,2,6,11426,7,5,1362,1362,200000
185,1252,3,1,5,7438,5,8,504,936,127000
186,3608,4,2,12,22950,10,9,1107,1518,475000
187,1217,3,2,6,9947,7,5,1188,1217,173000
188,1656,3,2,8,10410,5,7,660,808,135000
189,1224,2,0,6,7018,5,5,1086,1224,153337
190,1593,0,1,5,4923,8,5,1593,1593,286000
191,2727,3,2,10,10570,8,8,853,1549,315000
192,1479,4,1,7,7472,7,9,725,725,184000
193,1431,3,2,6,9017,7,5,1431,1431,192000
194,1709,3,2,7,2522,7,5,970,970,130000
195,864,3,1,5,7180,5,7,864,864,127000
196,1456,3,2,7,2280,6,6,855,855,148500
197,1726,3,2,8,9416,7,5,1726,1726,311872
198,3112,4,2,8,25419,8,4,1360,1360,235000
199,2229,5,1,8,5520,6,6,755,929,104000
200,1713,3,2,7,9591,8,5,1713,1713,274900
201,1121,2,2,5,8546,4,5,1121,1121,140000
202,1279,3,2,6,10125,6,6,1196,1279,171500
203,1310,2,2,6,7000,6,6,617,865,112000
204,848,1,1,3,4438,6,5,848,848,149000
205,1284,2,1,5,3500,5,7,720,720,110000
206,1442,3,2,5,11851,7,5,1424,1442,180500
207,1696,3,1,8,13673,5,5,1140,1696,143900
208,1100,3,1,6,12493,4,5,1100,1100,141000
209,2062,3,2,7,14364,7,5,1157,1180,277000
210,1092,3,1,6,8250,6,7,1092,1092,145000
211,864,2,1,5,5604,5,6,864,864,98000
212,1212,3,2,6,10420,6,5,1212,1212,186000
213,1852,3,2,7,8640,7,5,900,932,252678
214,990,3,1,5,13568,5,5,990,990,156000
215,1392,3,1,6,10900,6,7,689,689,161750
216,1236,2,1,6,10011,5,6,1070,1236,134450
217,1436,3,2,8,8450,7,5,1436,1436,210000
218,1328,3,1,8,9906,4,4,686,810,107000
219,1954,3,1,8,15660,7,9,798,1137,311500
220,1248,2,2,5,3010,7,5,1248,1248,167240
221,1498,2,2,5,8990,7,5,1498,1498,204900
222,2267,4,2,8,8068,6,5,1010,1010,200000
223,1552,3,2,6,11475,6,6,713,811,179900
224,864,2,1,4,10500,4,6,864,864,97000
225,2392,3,2,8,13472,10,5,2392,2392,386250
226,1302,3,2,6,1680,5,5,630,630,112000
227,2520,4,2,9,9950,7,5,1203,1214,290000
228,987,2,1,5,1869,6,6,483,483,106000
229,912,3,1,5,8521,5,5,912,912,125000
230,1555,2,2,7,3182,7,5,1373,1555,192500
231,1194,3,1,6,8760,6,6,1194,1194,148000
232,2794,4,2,9,15138,8,5,1462,1490,403000
233,987,2,1,5,1680,6,5,483,483,94500
234,894,3,1,5,10650,5,6,894,894,128200
235,1960,4,2,8,7851,6,5,860,860,216500
236,987,2,1,5,1680,6,3,483,483,89500
237,1414,3,2,6,8773,7,5,1414,1414,185500
238,1744,3,2,7,9453,7,7,996,1014,194500
239,1694,3,2,7,12030,8,5,1694,1694,318000
240,1487,3,1,7,8741,6,4,735,798,113000
241,1566,3,2,7,9000,8,5,1566,1566,262500
242,866,2,1,4,3880,5,9,686,866,110500
243,1440,3,1,6,5000,5,4,540,889,79000
244,1217,3,1,6,10762,6,6,626,626,120000
245,2110,3,2,8,8880,7,5,948,1222,205000
246,1872,3,2,6,10400,7,5,1845,1872,241500
247,1928,4,2,9,9142,6,8,1020,908,137000
248,1375,2,1,5,11310,6,5,1367,1375,140000
249,1668,3,2,8,11317,7,5,840,840,180000
250,2144,4,2,7,159000,6,7,1444,1444,277000
251,1306,3,1,6,5350,3,2,728,1306,76500
252,1625,2,2,5,4750,8,5,1573,1625,235000
253,1640,3,2,6,8366,6,5,798,798,173000
254,1302,3,2,7,9350,6,7,1302,1302,158000
255,1314,3,1,5,8400,5,6,1314,1314,145000
256,2291,4,2,8,8738,7,5,975,1005,230000
257,1728,3,2,7,8791,6,5,864,864,207500
258,1604,3,2,8,8814,7,5,1604,1604,220000
259,1792,3,2,7,12435,7,5,963,963,231500
260,882,2,1,4,12702,5,5,0,882,97000
261,1382,3,1,6,19296,6,5,1362,1382,176000
262,2574,3,2,10,9588,8,5,1482,1482,276000
263,1212,3,1,6,8471,6,7,506,1212,151000
264,1316,3,1,6,5500,5,7,926,926,130000
265,764,2,1,4,5232,5,5,680,764,73000
266,1422,3,2,7,12090,6,6,1422,1422,175500
267,1511,3,2,8,11207,6,5,802,802,185000
268,2192,4,2,8,8400,5,8,720,1052,179500
269,778,2,1,4,6900,5,6,740,778,120500
270,1113,3,1,6,7917,6,7,1143,1113,148000
271,1939,3,2,8,10728,8,5,1095,1095,266000
272,1363,2,1,5,39104,7,7,1385,1363,241500
273,2270,4,2,9,11764,8,7,1152,1164,290000
274,1632,3,2,6,9600,6,6,1240,1632,139000
275,816,2,1,5,8314,5,7,816,816,124500
276,1548,3,2,5,7264,7,7,952,952,205000
277,1560,3,2,7,9196,7,5,1560,1560,201000
278,864,2,1,4,19138,4,5,864,864,141000
279,2121,3,2,8,14450,9,5,2121,2121,415298
280,2022,4,2,8,10005,7,5,1160,1156,192000
281,1982,3,2,7,11287,7,6,807,1175,228500
282,1262,2,2,5,7200,6,5,1262,1262,185000
283,1314,2,2,6,5063,7,5,1314,1314,207500
284,1468,3,2,6,9612,8,5,1468,1468,244600
285,1575,2,2,5,8012,6,5,1575,1575,179200
286,1250,2,2,5,4251,7,5,625,625,164700
287,1734,3,1,7,9786,6,7,912,1085,159000
288,858,3,1,5,8125,4,4,858,858,88000
289,900,3,1,5,9819,5,5,882,900,122000
290,1396,3,1,7,8730,6,7,698,698,153575
291,1919,3,2,8,15611,8,5,1079,1079,233230
292,1716,6,2,9,5687,5,6,780,936,135900
293,1716,3,1,8,11409,5,4,768,1148,131000
294,2263,3,2,9,16659,7,7,795,1468,235000
295,1644,3,1,7,9600,6,5,1416,1644,167000
296,1003,3,1,6,7937,6,6,1003,1003,142500
297,1558,4,1,6,13710,5,5,910,910,152000
298,1950,3,2,7,7399,7,5,975,975,239000
299,1743,3,1,7,11700,6,6,702,1041,175000
300,1152,3,1,6,14000,6,8,1092,1152,158500
301,1336,2,1,5,15750,5,5,1165,1336,157000
302,2452,4,2,9,16226,8,5,1028,1210,267000
303,1541,3,2,6,13704,7,5,1541,1541,205000
304,894,3,1,5,9800,5,7,894,894,149900
305,3493,3,3,10,18386,7,9,1470,1675,295000
306,2000,3,2,8,10386,8,5,2000,2000,305900
307,2243,4,2,8,13474,7,5,700,1122,225000
308,1406,3,1,6,7920,6,7,319,1035,89500
309,861,1,1,4,12342,4,5,861,861,82500
310,1944,3,2,8,12378,9,5,1896,1944,360000
311,1501,3,2,6,7685,6,5,697,697,165600
312,972,2,1,5,8000,6,6,972,972,132000
313,1118,3,1,5,7800,5,7,793,793,119900
314,2036,3,2,8,215245,7,5,2136,2036,375000
315,1641,3,1,6,9600,7,7,728,832,178000
316,1432,3,2,6,7795,7,5,716,716,188500
317,2353,4,2,10,13005,7,7,845,1153,260000
318,1959,3,2,8,9000,8,5,1088,1088,270000
319,2646,4,2,9,9900,7,5,1347,1372,260000
320,1472,3,2,6,14115,7,5,1372,1472,187500
321,2596,4,3,9,16259,9,5,1249,1249,342643
322,2468,4,2,10,12099,8,5,1136,1136,354000
323,2730,4,2,8,10380,7,5,1502,1553,301000
324,1163,3,1,6,5820,3,8,1162,1163,126175
325,2978,5,2,11,11275,7,7,710,1898,242000
326,803,2,1,5,5000,5,6,720,803,87000
327,1719,1,1,6,10846,8,5,1719,1719,324000
328,1383,3,1,7,11600,6,5,1383,1383,145250
329,2134,5,2,10,11888,6,6,844,1445,214500
330,1192,3,1,6,6402,5,5,596,596,78000
331,1728,6,2,10,10624,5,4,1728,1728,119000
332,1056,3,1,6,8176,5,6,1056,1056,139000
333,1629,3,2,7,10655,8,5,3206,1629,284000
334,1358,2,2,6,8198,7,5,1358,1358,207000
335,1638,3,2,7,9042,6,5,943,943,192000
336,1786,3,2,7,164660,5,6,1499,1619,228950
337,1922,3,2,8,14157,9,5,1922,1922,377426
338,1536,3,2,7,9135,7,5,1536,1536,214000
339,1621,3,2,8,14145,7,7,1208,1621,202500
340,1215,3,1,6,12400,6,7,1215,1215,155000
341,1908,4,2,9,14191,8,5,967,993,202900
342,841,2,1,4,8400,4,4,721,841,82000
343,1040,2,2,6,8544,3,4,0,1040,87500
344,1684,2,2,6,8849,9,5,1684,1684,266000
345,1112,3,1,4,2592,5,3,536,536,85000
346,1577,3,1,6,6435,6,5,972,972,140200
347,958,2,1,5,12772,6,8,958,958,151500
348,1478,3,2,6,17600,6,5,1478,1478,157500
349,1626,2,2,6,2448,7,5,764,764,154000
350,2728,4,2,10,20431,9,5,1848,1848,437154
351,1869,2,2,6,7820,9,5,1869,1869,318061
352,1453,2,1,6,5271,7,5,1453,1453,190000
353,1111,3,1,5,9084,5,6,616,616,95000
354,720,2,1,5,8520,6,8,624,720,105900
355,1595,2,1,6,8400,6,5,940,1192,140000
356,1200,3,2,6,11249,6,5,1200,1200,177500
357,1167,3,2,6,9248,6,6,1158,1167,173000
358,1142,3,1,6,4224,5,5,1142,1142,134000
359,1352,3,1,6,6930,5,4,1062,1352,130000
360,1924,3,2,7,12011,8,5,1086,1086,280000
361,912,2,1,5,7540,6,6,888,912,156000
362,1505,3,1,8,9144,5,5,883,988,145000
363,1922,4,3,7,7301,7,5,0,495,198500
364,987,2,1,5,1680,6,8,483,483,118000
365,1574,3,2,6,18800,6,5,796,790,190000
366,1344,3,1,6,10690,5,7,672,672,147000
367,1394,3,1,6,9500,6,5,1394,1394,159000
368,1431,3,1,6,9150,6,5,1099,1431,165000
369,1268,2,1,7,7800,5,6,1268,1268,132000
370,1287,3,1,7,9830,5,7,1063,1287,162000
371,1664,3,2,7,8121,6,5,953,953,172400
372,1588,4,2,7,17120,4,4,0,1120,134432
373,752,2,1,4,7175,6,5,744,752,125000
374,1319,3,1,5,10634,5,6,608,1319,123000
375,1928,4,2,8,8200,7,5,847,847,219500
376,904,1,0,4,10020,1,1,683,904,61000
377,914,2,1,5,8846,5,5,870,914,148000
378,2466,4,3,8,11143,8,5,1580,1580,340000
379,1856,1,1,8,11394,9,2,1856,1856,394432
380,1800,3,2,7,8123,6,5,982,1007,179000
381,1691,3,2,6,5000,5,6,1026,1026,127000
382,1301,2,2,5,7200,7,5,1293,1301,187750
383,1797,3,2,8,9245,7,5,939,939,213500
384,784,2,1,5,9000,6,3,784,784,76000
385,1953,3,2,9,53107,6,5,1580,1079,240000
386,1269,2,2,6,3182,8,5,1256,1269,192000
387,1184,5,1,8,8410,5,3,658,658,81000
388,1125,3,1,6,7200,6,6,1041,1125,125000
389,1479,3,2,6,9382,7,5,1468,1479,191000
390,2332,3,2,9,12474,10,5,1682,1742,426000
391,1367,4,1,7,8405,5,8,861,961,119000
392,1961,3,2,7,12209,6,5,804,804,215000
393,882,3,1,5,8339,5,7,0,882,106500
394,788,2,1,4,7446,4,5,788,788,100000
395,1034,2,1,5,10134,5,6,735,735,109000
396,1144,3,1,6,9571,5,6,1144,1144,129000
397,894,2,1,6,7200,5,5,894,894,123000
398,1812,4,2,8,7590,5,5,864,876,169500
399,1077,2,1,6,8967,5,2,961,1077,67000
400,1550,2,2,7,8125,7,5,1092,1112,241000
401,1288,1,1,4,14963,8,5,1260,1288,245500
402,1310,3,2,6,8767,7,5,1310,1310,164990
403,672,2,1,4,10200,5,8,672,672,108000
404,2263,4,2,10,12090,8,5,1141,1165,258000
405,1572,3,2,7,10364,6,5,806,806,168000
406,1620,3,2,8,9991,4,4,1281,1620,150000
407,1639,3,1,6,10480,6,5,1064,1166,115000
408,1680,4,2,8,15576,6,7,840,840,177000
409,2172,3,2,9,14154,7,5,1063,1071,280000
410,2078,3,2,8,10800,8,5,1034,1050,339750
411,1276,3,1,5,9571,5,3,1276,1276,60000
412,1056,3,1,5,34650,5,5,1056,1056,145000
413,1478,2,2,7,4403,7,5,1470,1478,222000
414,1028,2,1,5,8960,5,6,1008,1028,115000
415,2097,3,2,9,11228,7,5,1080,1080,228000
416,1340,3,2,6,8899,7,5,1340,1340,181134
417,1400,3,1,6,7844,6,7,672,672,149500
418,2624,4,2,10,22420,6,6,1370,1370,239000
419,1134,3,1,7,8160,5,6,756,756,126000
420,1056,3,1,6,8450,5,6,1056,1056,142000
421,1344,2,2,8,7060,7,5,1344,1344,206300
422,1602,3,2,8,16635,6,7,1602,1602,215000
423,988,2,1,4,21750,5,5,988,988,113000
424,2630,4,2,8,9200,8,5,1470,1470,315000
425,1196,2,1,6,9000,6,5,1196,1196,139000
426,1389,3,1,6,3378,7,8,651,707,135000
427,1644,2,2,5,12800,7,5,1518,1644,275000
428,907,3,1,5,8593,4,6,907,907,109008
429,1208,2,2,6,6762,7,5,1208,1208,195400
430,1412,3,2,6,11457,6,5,1392,1412,175000
431,987,2,1,4,1680,6,5,483,483,85400
432,1198,4,1,7,5586,6,7,901,1088,79900
433,1365,2,1,6,1920,5,5,765,765,122500
434,1604,3,2,7,10839,6,5,926,926,181000
435,630,1,1,3,1890,4,7,630,630,81000
436,1661,3,2,6,10667,7,6,799,827,212000
437,1118,2,1,6,4400,6,8,648,734,116000
438,904,2,1,4,6000,6,7,884,904,119000
439,694,2,1,4,4280,5,6,440,694,90350
440,1196,3,1,7,12354,6,8,684,684,110000
441,2402,2,2,10,15431,10,5,3094,2402,555000
442,1440,4,2,8,12108,4,4,1440,1440,118000
443,1573,3,2,8,6240,5,7,1078,1128,162900
444,1258,2,2,6,3922,7,5,1258,1258,172500
445,1908,4,2,8,8750,7,5,915,933,210000
446,1689,3,1,7,9855,6,5,1436,1689,127500
447,1888,2,2,6,16492,6,6,1517,1888,190000
448,1886,4,2,10,11214,7,5,930,956,199900
449,1376,3,2,7,8600,6,6,780,780,119500
450,1183,2,1,6,6000,3,7,649,679,120000
451,813,2,1,5,5684,6,8,813,813,110000
452,1533,2,2,5,70761,7,5,1533,1533,280000
453,1756,3,2,7,9303,6,5,872,888,204000
454,1590,3,2,6,9000,8,5,768,786,210000
455,1728,4,2,8,9297,5,5,1728,1728,188000
456,1242,3,1,6,9600,7,6,1242,1242,175500
457,1344,4,1,7,4571,5,5,624,624,98000
458,1663,2,1,6,53227,4,6,1364,1663,256000
459,1666,3,1,7,5100,8,7,588,833,161000
460,1203,3,1,5,7015,5,4,709,979,110000
461,1935,3,2,8,8004,8,5,832,832,263435
462,1135,3,1,6,7200,7,9,560,575,155000
463,864,3,1,5,8281,5,5,864,864,62383
464,1660,3,1,6,11988,6,7,715,849,188700
465,1040,3,2,5,8430,5,5,1040,1040,124000
466,1414,2,2,6,3072,7,5,1375,1414,178740
467,1277,2,1,5,10628,7,5,1277,1277,167000
468,1644,3,1,7,9480,5,7,728,888,146500
469,1634,3,2,7,11428,8,5,1626,1634,250000
470,1710,3,2,7,9291,6,5,832,832,187000
471,1502,1,1,4,6820,8,5,1488,1502,212000
472,1969,3,2,8,11952,7,6,808,1161,190000
473,1072,2,1,5,3675,6,5,547,1072,148000
474,1976,2,2,7,14977,8,5,1976,1976,440000
475,1652,2,2,6,5330,8,5,1494,1652,251000
476,970,2,1,5,8480,5,6,970,970,132500
477,1493,3,2,7,13125,6,5,1478,1493,208900
478,2643,3,2,9,13693,9,5,2153,2069,380000
479,1718,3,2,7,10637,8,5,1705,1718,297000
480,1131,2,1,7,5925,4,7,907,1131,89471
481,1850,3,2,8,16033,9,5,1833,1850,326000
482,1792,2,2,6,11846,9,5,1792,1792,374000
483,1826,4,1,7,2500,7,8,910,916,155000
484,1216,2,2,5,4500,6,5,1216,1216,164000
485,999,3,1,6,7758,5,7,999,999,132500
486,1113,3,1,5,9600,5,7,1113,1113,147000
487,1073,3,1,6,10289,5,7,1073,1073,156000
488,1484,3,2,7,12243,5,6,1484,1484,175000
489,2414,3,2,10,10800,5,4,954,1766,160000
