Id,GrLivArea,BedroomAbvGr,FullBath,TotRmsAbvGrd,LotArea,OverallQual,OverallCond,TotalBsmtSF,1stFlrSF,SalePrice
490,630,1,1,3,1526,4,8,630,630,86000
491,1304,3,1,4,2665,5,6,264,616,115000
492,1578,3,1,5,9490,6,7,806,958,133000
493,1456,3,2,8,15578,6,5,728,728,172785
494,1269,3,1,6,7931,5,6,1269,1269,155000
495,886,2,1,4,5784,5,8,190,886,91300
496,720,2,1,4,7879,4,5,720,720,34900
497,3228,4,3,10,12692,8,5,3200,3228,430000
498,1820,4,2,8,9120,7,6,1026,1133,184000
499,899,3,1,5,7800,5,7,864,899,130000
500,912,2,1,5,7535,5,7,912,912,120000
501,1218,3,1,7,1890,6,5,672,672,113000
502,1768,3,2,7,9803,7,5,866,866,226700
503,1214,2,1,6,9170,5,7,1214,1214,140000
504,1801,1,2,6,15602,7,8,1501,1801,289000
505,1322,3,2,6,2308,6,5,855,855,147000
506,1960,4,2,10,7596,5,5,960,960,124500
507,1911,3,2,8,9554,8,5,777,1065,215000
508,1218,2,2,4,7862,6,5,1218,1218,208300
509,1378,3,2,7,9600,7,9,689,689,161000
510,1041,3,1,6,9600,5,6,1041,1041,124500
511,1363,2,1,6,14559,5,7,1008,1363,164900
512,1368,2,2,6,6792,7,5,1368,1368,202665
513,864,3,1,5,9100,5,5,864,864,129900
514,1080,3,1,5,9187,6,5,1084,1080,134000
515,789,2,1,5,10594,5,5,768,789,96500
516,2020,3,2,9,12220,10,5,2006,2020,402861
517,2119,3,2,7,10448,6,6,689,1378,158000
518,2344,3,2,7,10208,7,5,1264,1277,265000
519,1796,3,2,7,9531,6,5,794,882,211000
520,2080,3,1,9,10918,7,9,1276,1276,234000
521,1294,3,2,7,10800,4,7,0,694,106250
522,1244,3,1,6,11988,6,6,1244,1244,150000
523,1664,3,2,7,5000,6,7,1004,1004,159000
524,4676,3,3,11,40094,10,5,3138,3138,184750
525,2398,3,2,8,11787,7,5,1379,1383,315750
526,1266,3,2,6,7500,7,5,1257,1266,176000
527,928,2,1,4,13300,5,7,928,928,132000
528,2713,3,2,11,14948,9,5,1452,1476,446261
529,605,2,1,5,9098,4,7,528,605,86000
530,2515,4,3,9,32668,6,3,2035,2515,200624
531,1509,3,2,5,10200,6,5,1461,1509,175000
532,1362,3,2,6,6155,6,8,611,751,128000
533,827,2,1,5,7200,5,7,0,827,107500
534,334,1,1,2,5000,1,3,0,334,39300
535,1414,3,2,6,9056,8,5,707,707,178000
536,1347,3,1,5,7000,5,7,1117,820,107500
537,1724,3,2,8,8924,7,5,880,880,188000
538,864,3,1,5,12735,4,5,864,864,111250
539,1159,3,1,7,11553,5,5,1051,1159,158000
540,1601,3,2,6,11423,8,5,1581,1601,272000
541,1838,2,2,8,14601,9,5,1838,1838,315000
542,2285,4,2,8,11000,8,5,969,997,248000
543,1680,3,2,7,10140,7,5,1650,1680,213250
544,767,1,1,4,4058,7,5,723,767,133000
545,1496,3,2,7,17104,7,5,654,664,179665
546,2183,4,2,9,13837,7,5,1204,1377,229000
547,1635,3,1,6,8737,6,7,1065,915,210000
548,768,2,1,5,7244,5,7,768,768,129500
549,825,2,1,4,8235,5,7,825,825,125000
550,2094,4,2,8,9375,7,5,912,912,263000
551,1069,2,2,4,4043,6,6,1069,1069,140000
552,928,3,1,5,6000,5,6,928,928,112500
553,1717,3,2,7,11146,8,5,1709,1717,255500
554,1126,2,2,5,8777,4,5,0,1126,108000
555,2046,3,2,8,10625,7,5,998,1006,284000
556,1048,2,1,5,6380,5,6,993,1048,113000
557,1092,2,1,6,14850,5,5,1092,1092,141000
558,1336,3,1,7,11040,4,6,637,897,108000
559,1446,3,2,6,21872,7,5,729,729,175000
560,1557,2,2,7,3196,7,5,1374,1557,234000
561,1392,3,1,5,11341,5,6,1392,1392,121500
562,1389,2,1,6,10010,5,5,1389,1389,170000
563,996,3,1,6,13907,5,6,996,996,108000
564,1674,4,2,8,21780,6,7,1163,1163,185000
565,2295,4,2,9,13346,7,5,1095,1166,268000
566,1647,4,1,6,6858,6,4,806,841,128000
567,2504,4,2,11,11198,9,5,1122,1134,325000
568,1535,3,2,7,10171,7,5,1517,1535,214000
569,2132,1,1,5,12327,8,8,1496,1496,316600
570,943,2,1,4,7032,5,5,943,943,135960
571,1728,6,2,10,13101,5,5,1728,1728,142600
572,864,2,1,4,7332,6,6,864,864,120000
573,1692,3,2,6,13159,7,5,846,846,224500
574,1430,3,2,8,9967,7,5,384,774,170000
575,1109,3,1,5,10500,5,7,372,576,139000
576,1216,2,1,6,8480,5,5,832,832,118500
577,1477,3,2,6,6292,7,7,861,877,145000
578,1320,3,1,6,11777,5,6,1164,1320,164500
579,1392,2,2,5,3604,7,5,689,703,146000
580,1795,4,2,7,12150,5,5,1050,1050,131500
581,1429,3,1,7,14585,6,6,1144,1429,181900
582,2042,3,2,8,12704,8,5,2042,2042,253293
583,816,3,1,5,11841,6,5,816,816,118500
584,2775,3,3,9,13500,10,9,1237,1521,325000
585,1573,3,1,6,6120,4,7,884,989,133000
586,2028,2,2,7,11443,8,5,1868,2028,369900
587,838,2,1,5,10267,6,7,816,838,130000
588,860,2,1,4,8740,5,6,840,860,137000
589,1473,1,1,5,25095,5,8,1437,1473,143000
590,935,2,1,4,9100,5,6,742,779,79500
591,1582,3,2,6,8320,7,5,770,770,185900
592,2296,3,2,10,13478,10,5,1722,1728,451950
593,816,2,1,4,6600,5,8,816,816,138000
594,848,1,1,4,4435,6,5,848,848,140000
595,924,3,1,5,7990,5,6,924,924,110000
596,1826,3,2,7,11302,8,5,1814,1826,319000
597,1368,3,1,7,3600,6,7,684,684,114504
598,1402,2,0,7,3922,7,5,1258,1402,194201
599,1647,3,2,7,12984,5,6,1430,1647,217500
600,1556,3,2,6,1950,6,6,716,716,151000
601,1904,3,2,8,10927,8,5,1058,1058,275000
602,1375,3,1,6,9000,6,6,780,780,141000
603,1915,3,2,8,10041,8,5,908,927,220000
604,1200,2,2,4,3182,7,5,600,600,151000
605,1494,3,2,6,12803,7,5,1494,1494,221000
606,1986,3,2,7,13600,7,6,768,1186,205000
607,1040,3,1,6,12464,5,5,1040,1040,152000
608,2008,3,3,8,7800,5,8,896,1112,225000
609,3194,4,2,10,12168,8,6,965,1940,359100
610,1029,3,1,5,7943,4,5,1029,1029,118500
611,2153,3,2,8,11050,9,5,1440,1476,313000
612,1032,3,2,6,10395,6,6,1032,1032,148000
613,1872,3,2,7,11885,8,5,1299,1299,261500
614,1120,3,1,6,8402,5,5,1120,1120,147000
615,630,1,1,3,1491,4,6,630,630,75500
616,1054,3,1,6,8800,6,7,936,1054,137500
617,1509,3,2,7,7861,6,5,783,807,183200
618,832,2,1,4,7227,6,6,832,832,105500
619,1828,3,2,9,11694,9,5,1822,1828,314813
620,2262,4,2,10,12244,8,5,1482,1482,305000
621,864,2,1,5,8248,3,3,864,864,67000
622,2614,4,2,9,10800,6,7,1522,1548,240000
623,980,3,1,6,7064,5,6,980,980,135000
624,1512,2,2,4,2117,6,5,756,756,168500
625,1790,4,1,8,10400,6,5,732,1012,165150
626,1116,3,1,5,10000,6,6,1116,1116,160000
627,1422,3,1,6,12342,5,5,978,1422,139900
628,1520,3,1,7,9600,6,6,1156,1520,153000
629,2080,5,1,9,11606,5,5,1040,1040,135000
630,1350,3,1,6,9020,6,5,1248,1350,168500
631,1750,3,1,8,9000,5,6,636,1089,124000
632,1554,2,2,6,4590,8,5,1554,1554,209500
633,1411,3,2,6,11900,7,5,1386,1411,82500
634,1056,3,1,6,9250,5,7,1056,1056,139400
635,1056,0,0,4,6979,6,5,1056,1056,144000
636,3395,8,2,14,10896,6,7,1440,1440,200000
637,800,1,1,4,6120,2,3,264,800,60000
638,1387,3,2,7,6000,5,4,811,811,93000
639,796,2,1,4,8777,5,7,796,796,85000
640,1567,1,2,7,3982,8,5,1520,1567,264561
641,1518,1,1,6,12677,8,5,1518,1518,274000
642,1929,3,2,7,7050,7,5,1057,1057,226000
643,2704,4,2,9,13860,8,7,1952,2000,345000
644,1620,4,2,7,10793,5,5,780,780,152000
645,1766,2,2,7,9187,9,5,1766,1766,370878
646,981,3,1,5,10530,6,5,981,981,143250
647,1048,3,1,7,7200,5,5,0,1048,98300
648,1094,3,1,5,10452,6,5,1094,1094,155000
649,1839,4,1,7,7700,6,5,756,1051,155000
650,630,1,1,3,1936,4,6,630,630,84500
651,1665,3,2,7,8125,7,6,813,822,205950
652,1510,4,1,7,9084,4,5,755,755,108000
653,1716,2,2,7,8750,7,5,880,909,191000
654,1469,3,1,7,10320,6,7,756,756,135000
655,2113,2,2,7,10437,8,6,2109,2113,350000
656,1092,3,1,6,1680,6,5,525,525,88000
657,1053,3,1,5,10007,5,7,1053,1053,145500
658,1502,3,1,6,7200,7,6,776,851,149000
659,1458,3,1,6,17503,6,5,912,912,97500
660,1486,3,1,7,9937,5,7,1486,1486,167000
661,1935,3,2,7,12384,7,7,793,1142,197900
662,2448,4,2,8,46589,8,7,1629,1686,402000
663,1392,2,1,5,13560,6,3,1392,1392,110000
664,1181,3,2,6,10012,4,5,1138,1181,137500
665,2097,1,1,8,20896,8,5,2077,2097,423000
666,1936,3,2,7,11194,8,5,1406,1454,230500
667,2380,3,2,7,18450,6,5,1021,1465,129000
668,1679,3,2,7,8125,6,5,1408,1679,193500
669,1437,3,1,6,14175,5,6,1188,1437,168000
670,1180,2,1,5,11600,4,5,700,1180,137500
671,1476,3,2,7,8633,6,5,738,738,173500
672,1369,3,2,6,6629,6,6,672,697,103600
673,1208,3,1,6,11250,6,6,1208,1208,165000
674,1839,3,2,7,14442,6,7,1477,1839,257500
675,1136,3,1,5,9200,6,6,1136,1136,140000
676,1441,3,2,7,2289,6,6,855,855,148500
677,1774,4,2,8,9600,4,2,1095,1095,87000
678,792,2,1,5,9022,5,8,768,792,109500
679,2046,3,2,7,11844,8,5,2046,2046,372500
680,988,3,1,5,9945,5,5,988,988,128500
681,923,2,2,5,8012,6,5,923,923,143000
682,1520,3,1,6,4500,5,5,793,848,159434
683,1291,2,1,6,2887,6,5,1291,1291,173000
684,1668,3,2,7,11248,9,5,1626,1668,285000
685,1839,4,2,7,16770,7,5,1195,1195,221000
686,2090,3,2,6,5062,7,5,1190,1190,207500
687,1761,3,3,7,10207,7,6,874,874,227875
688,1102,2,2,4,5105,7,5,551,551,148800
689,1419,2,2,7,8089,8,6,1419,1419,392000
690,1362,2,2,6,7577,6,5,1362,1362,194700
691,848,1,1,3,4426,6,5,848,848,141000
692,4316,4,3,10,21535,10,6,2444,2444,755000
693,2519,4,2,9,26178,7,5,1210,1238,335000
694,1073,2,1,4,5400,5,6,1073,1073,108480
695,1539,3,1,5,6120,5,6,927,1067,141500
696,1137,2,2,5,13811,6,6,1112,1137,176000
697,616,2,1,4,6000,5,7,616,616,89000
698,1148,2,1,6,6420,5,7,980,1148,123500
699,894,3,1,5,8450,5,8,894,894,138500
700,1391,2,2,5,4282,7,5,1391,1391,196000
701,1800,3,2,7,14331,8,5,1800,1800,312500
702,1164,3,1,6,9600,7,5,1164,1164,140000
703,2576,4,2,10,12438,8,5,1234,1264,361919
704,1812,4,2,8,7630,5,9,360,1032,140000
705,1484,3,2,7,8400,7,5,1473,1484,213000
706,1092,3,2,7,5600,4,5,0,372,55000
707,1824,2,2,5,115149,7,5,1643,1824,302000
708,1324,2,2,6,6240,8,5,1324,1324,254000
709,1456,3,2,8,9018,7,5,728,728,179540
710,904,3,1,6,7162,5,7,876,904,109900
711,729,2,1,5,4130,3,6,270,729,52000
712,1178,2,1,7,8712,4,7,859,859,102776
713,1228,2,2,5,4671,8,5,1228,1228,189000
714,960,3,1,6,9873,4,5,960,960,129000
715,1479,3,2,6,13517,6,8,725,725,130500
716,1350,3,2,7,10140,6,5,1064,1350,165000
717,2554,3,1,8,10800,7,8,718,1576,159500
718,1178,3,1,5,10000,5,6,1176,1178,157000
719,2418,3,2,9,10542,7,5,1311,1325,341000
720,971,3,1,5,9920,5,6,971,971,128500
721,1742,2,2,5,6563,8,5,1742,1742,275000
722,848,1,1,3,4426,6,5,848,848,143000
723,864,3,1,5,8120,4,7,864,864,124500
724,1470,4,2,7,8172,4,6,941,997,135000
725,1698,3,2,8,13286,9,5,1698,1698,320000
726,864,3,1,5,6960,4,6,864,864,120500
727,1680,3,2,5,21695,6,9,880,1680,222000
728,1232,2,2,6,7314,7,5,1232,1232,194500
729,1776,4,2,9,11475,5,5,1584,1776,110000
730,1208,2,1,5,6240,4,5,780,848,103000
731,1616,2,2,5,5389,8,5,1595,1616,236500
732,1146,3,2,6,9590,7,5,868,1146,187500
733,2031,3,2,8,11404,7,5,1153,1153,222500
734,1144,3,1,6,10000,5,6,864,1144,131400
735,948,3,1,6,8978,5,5,948,948,108000
736,1768,2,1,6,10800,7,7,880,880,163000
737,1040,2,2,6,8544,3,4,0,1040,93500
738,1801,3,2,8,10463,8,5,893,901,239900
739,1200,3,3,5,10800,5,5,1200,1200,179000
740,1728,3,2,7,9313,7,5,864,864,190000
741,1432,2,2,7,9600,5,7,264,768,132000
742,912,3,1,5,6768,6,8,912,912,142000
743,1349,3,2,6,8450,7,5,1349,1349,179000
744,1464,3,2,6,12886,5,6,520,1464,175000
745,1337,2,2,5,5395,8,5,1337,1337,180000
746,2715,4,3,11,8963,8,9,1142,1175,299800
747,2256,4,2,8,8795,7,5,952,980,236000
748,2640,4,1,8,11700,7,7,1240,1320,265979
749,1720,3,2,7,10593,7,5,1720,1720,260400
750,1529,4,2,9,8405,4,3,0,1088,98000
751,1140,3,1,7,8800,4,7,576,792,96500
752,1320,3,2,6,7750,7,5,660,660,162000
753,1494,3,2,6,9236,6,5,1479,1494,217000
754,2098,3,2,8,10240,8,5,1030,1038,275500
755,1026,3,1,5,7930,6,8,1026,1026,156000
756,1471,3,2,6,3230,6,5,729,742,172500
757,1768,3,2,7,10769,8,5,866,866,212000
758,1386,3,2,6,11616,6,5,672,672,158900
759,1501,3,2,6,2280,7,5,744,757,179400
760,2531,4,2,9,12257,8,5,1318,1328,290000
761,864,2,1,5,9100,6,6,864,864,127500
762,1301,2,1,5,6911,5,5,1145,1301,100000
763,1547,3,2,7,8640,7,5,756,764,215200
764,2365,3,2,8,9430,8,5,1252,1268,337000
765,1494,2,1,6,9549,8,5,1494,1494,270000
766,1506,2,2,6,14587,9,5,1498,1506,264132
767,1714,3,2,7,10421,7,5,980,980,196500
768,1750,4,2,7,12508,6,7,983,983,160000
769,1836,3,2,8,9100,7,5,1860,1836,216837
770,3279,4,3,12,53504,8,5,1650,1690,538000
771,858,2,1,5,7252,5,5,858,858,134900
772,1220,2,1,6,8877,4,5,836,1220,102000
773,1117,3,1,6,7819,6,5,1029,1117,107000
774,912,2,1,5,10150,5,5,912,912,114500
775,1973,3,2,9,14226,8,5,1935,1973,395000
776,1204,2,2,5,4500,6,5,1204,1204,162000
777,1614,3,2,7,11210,7,5,1614,1614,221500
778,894,3,1,5,13350,5,5,864,894,142500
779,2020,4,2,10,8400,5,5,0,2020,144000
780,1004,2,1,4,10530,6,5,975,1004,135000
781,1253,3,2,6,7875,7,5,1237,1253,176000
782,1603,3,2,7,7153,6,5,761,810,175900
783,1430,3,2,6,16285,7,5,1413,1430,187100
784,1110,1,1,4,9101,5,6,1097,1110,165500
785,1484,3,2,9,6300,6,6,742,742,128000
786,1342,3,2,7,9790,6,5,1372,1342,161500
787,1652,4,2,7,10800,5,6,686,966,139000
788,2084,4,2,8,10142,7,5,956,956,233000
789,901,2,1,4,6000,4,7,901,901,107900
790,2087,5,2,9,12205,6,8,832,976,187500
791,1145,2,2,5,3182,7,5,1145,1145,160200
792,1062,3,1,5,11333,6,5,1029,1062,146800
793,2013,3,2,8,9920,7,5,1117,1127,269790
794,1496,3,2,7,9158,8,5,1496,1496,225000
795,1895,3,2,7,10832,7,5,712,1086,194500
796,1564,3,2,7,8400,6,6,650,888,171000
797,1285,3,1,7,8197,6,5,660,1285,143500
798,773,2,1,4,7677,5,5,773,773,110000
799,3140,4,3,11,13518,9,5,1926,1966,485000
800,1768,3,1,7,7200,5,7,731,981,175000
801,1688,4,2,8,12798,6,5,616,616,200000
802,1196,2,1,5,4800,4,7,1196,1196,109900
803,1456,3,2,7,8199,7,5,728,728,189000
804,2822,4,3,12,13891,9,5,1734,1734,582933
805,1128,2,1,5,9000,5,5,936,1128,118000
806,1428,3,2,6,12274,7,5,1417,1428,227680
807,980,3,2,6,9750,5,5,980,980,135500
808,1576,3,1,6,21384,5,6,1324,1072,223500
809,1086,3,1,6,13400,5,5,1024,1086,159950
810,2138,2,2,11,8100,5,5,849,1075,106000
811,1309,3,1,5,10140,6,6,1040,1309,181000
812,848,1,1,4,4438,6,5,848,848,144500
813,1044,2,1,4,8712,5,5,540,1044,55993
814,1442,4,1,7,9750,6,6,1442,1442,157900
815,1250,3,1,7,8248,5,7,686,686,116000
816,1661,3,2,6,12137,7,5,1649,1661,224900
817,1008,2,1,4,11425,5,6,1008,1008,137000
818,1689,3,2,7,13265,8,5,1568,1689,271000
819,1052,3,1,6,8816,6,7,1010,1052,155000
820,1358,2,2,6,6371,7,5,1358,1358,224000
821,1640,3,2,6,7226,7,5,798,798,183000
822,936,2,1,4,6000,4,4,936,936,93000
823,1733,3,2,7,12394,7,5,847,847,225000
824,1489,3,2,7,9900,6,7,778,944,139500
825,1489,3,2,7,11216,8,5,1489,1489,232600
826,2084,2,2,7,14803,10,5,2078,2084,385000
827,784,2,1,5,6130,5,6,784,784,109500
828,1434,3,2,6,8529,7,5,1454,1434,189000
829,2126,3,2,7,28698,5,5,1013,1160,185000
830,1223,2,2,4,2544,7,5,600,520,147400
831,1392,3,1,6,11900,6,5,1392,1392,166000
832,1200,2,2,4,3180,7,5,600,520,151000
833,1829,3,2,7,9548,7,6,941,941,237000
834,1516,3,1,6,10004,6,6,1516,1516,167000
835,1144,3,1,6,7875,5,6,1144,1144,139950
836,1067,2,2,4,9600,4,7,1067,1067,128000
837,1559,2,1,5,8100,5,6,1559,1559,153500
838,987,2,1,5,1680,6,5,483,483,100000
839,1099,3,1,6,9525,5,6,1099,1099,144000
840,1200,3,1,6,11767,5,6,768,768,130500
841,1482,4,2,7,12155,6,8,672,810,140000
842,1539,3,2,8,10440,5,8,650,958,157500
843,1165,3,1,6,9020,6,7,1127,1165,174900
844,1800,6,2,10,8000,5,4,1800,1800,141000
845,1416,4,1,7,12665,5,8,876,876,153900
846,1701,3,2,6,16647,5,5,1390,1701,171000
847,1775,3,2,7,9317,7,5,740,1006,213000
848,864,3,1,5,15523,5,6,864,864,133500
849,2358,5,3,10,45600,6,8,907,1307,240000
850,1855,3,2,7,9600,6,7,528,1094,187000
851,848,1,1,3,4435,6,5,848,848,131500
852,1456,2,2,7,3196,8,5,1273,1456,215000
853,1646,4,2,7,7128,7,5,918,918,164000
854,1445,3,1,7,12095,6,6,1127,1445,158000
855,1779,3,1,6,17920,5,4,1763,1779,170000
856,1040,3,1,6,6897,5,8,1040,1040,127000
857,1026,3,1,5,10970,6,6,940,1026,147000
858,1481,3,2,6,8125,6,5,702,702,174000
859,1370,3,2,6,10400,7,5,1090,1370,152000
860,2654,4,2,9,11029,6,7,1054,1512,250000
861,1426,3,1,7,7642,7,8,912,912,189950
862,1039,3,1,6,11625,5,4,1039,1039,131500
863,1097,3,2,6,9672,6,5,1040,1097,152000
864,1148,3,1,6,7931,5,5,1148,1148,132500
865,1372,3,2,6,8640,7,5,1372,1372,250580
866,1002,3,1,5,8750,5,6,1002,1002,148500
867,1646,3,2,6,10656,8,5,1638,1646,248900
868,1120,3,1,5,6970,4,5,1040,1120,129000
869,2320,2,2,7,14762,5,6,0,1547,169000
870,1949,3,2,8,9938,7,5,1050,1062,236000
871,894,2,1,5,6600,5,5,894,894,109500
872,1682,3,2,7,8750,6,5,804,804,200500
873,910,3,1,5,8892,5,7,105,910,116000
874,1268,3,1,6,12144,5,7,832,1036,133000
875,1131,3,1,5,5720,5,6,676,676,66500
876,2610,4,2,11,9000,8,5,1184,1184,303477
877,1040,3,1,5,25286,4,5,1064,1040,132250
878,2224,4,2,10,8834,9,5,1462,1462,350000
879,1155,3,1,6,11782,5,7,1109,1155,148000
880,864,3,1,6,7000,5,8,864,864,136500
881,1090,2,1,5,7024,5,5,1090,1090,157000
882,1717,3,2,7,13758,7,5,1156,1187,187500
883,1593,3,2,7,9636,6,5,808,808,178000
884,2230,5,1,10,6204,4,5,795,954,118500
885,892,3,1,5,7150,5,5,892,892,100000
886,1709,2,2,5,5119,9,5,1698,1709,328900
887,1712,4,2,8,8393,5,5,1626,1712,145000
888,1393,3,1,8,16466,5,7,816,872,135500
889,2217,4,2,8,15865,8,6,2217,2217,268000
890,1505,2,1,6,12160,6,4,1505,1505,149500
891,924,3,1,6,8064,5,7,672,672,122900
892,1683,3,2,7,11184,6,5,918,918,172500
893,1068,3,1,6,8414,6,8,1059,1068,154500
894,1383,3,1,6,13284,5,5,1383,1383,165000
895,1535,4,2,8,7018,5,5,0,1535,118858
896,1796,4,1,8,7056,6,5,780,983,140000
897,951,2,1,6,8765,4,6,951,951,106500
898,2240,6,2,12,7018,5,5,0,1120,142953
899,2364,2,2,11,12919,9,5,2330,2364,611657
900,1236,3,1,6,6993,5,7,912,1236,135000
901,858,2,1,4,7340,4,6,858,858,110000
902,1306,2,1,5,8712,5,7,992,1306,153000
903,1509,3,2,8,7875,7,5,783,807,180000
904,1670,3,2,7,14859,7,5,1670,1670,240000
905,902,3,1,6,6173,5,6,876,902,125500
906,1063,3,1,6,9920,5,5,1056,1063,128000
907,1636,3,2,8,13501,8,5,1623,1636,255000
908,2057,3,1,6,11500,7,7,1017,1020,250000
909,902,2,1,5,8885,5,5,864,902,131000
910,1484,3,2,8,12589,6,5,742,742,174000
911,2274,5,2,12,11600,5,5,1105,1105,154300
912,1268,3,1,5,9286,5,7,1268,1268,143500
913,1015,3,1,6,6120,5,7,768,1015,88000
914,2002,4,2,8,6270,5,6,1001,1001,145000
915,1224,2,2,4,3000,6,5,612,612,173733
916,1092,3,1,6,2001,4,5,546,546,75000
917,480,1,0,4,9000,2,3,480,480,35311
918,1229,3,1,6,17140,4,6,1134,1229,135000
919,2127,4,2,8,13125,7,5,1104,912,238000
920,1414,3,1,6,11029,6,8,1184,1414,176500
921,1721,3,2,7,8462,6,5,928,936,201000
922,2200,4,2,9,8777,5,7,1272,1272,145900
923,1316,3,2,6,10237,6,5,1316,1316,169990
924,1617,2,2,5,8012,6,5,1604,1617,193000
925,1686,3,2,7,10240,6,6,1686,1686,207500
926,1126,3,2,6,15611,5,6,1126,1126,175000
927,2374,4,2,10,11999,8,5,1181,1234,285000
928,1978,4,2,9,9900,7,5,832,1098,176000
929,1788,3,2,7,11838,8,5,1753,1788,236500
930,2236,4,2,8,13006,7,5,964,993,222000
931,1466,3,2,7,8925,8,5,1466,1466,201000
932,925,2,1,5,9100,5,6,925,925,117500
933,1905,3,2,8,11670,9,5,1905,1905,320000
934,1500,3,2,6,8487,7,5,1500,1500,190000
935,2069,4,2,9,27650,7,7,585,2069,242000
936,747,1,1,5,5825,4,5,600,747,79900
937,1200,2,2,5,10083,7,5,1176,1200,184900
938,1971,3,2,8,9675,7,5,1113,1113,253000
939,1962,3,2,7,8760,7,5,1391,1391,239799
940,2403,4,2,10,24090,7,7,1032,1207,244400
941,1728,4,2,8,12640,6,5,1728,1728,150900
942,2060,3,2,8,8755,7,5,992,1022,214000
943,1440,4,2,8,7711,4,3,1440,1440,150000
944,1632,4,2,8,25000,5,4,1632,1632,143000
945,1344,3,1,7,14375,6,6,819,1344,137500
946,1869,2,1,7,8820,5,6,1088,1188,124900
947,1144,3,1,6,8163,5,6,1144,1144,143000
948,1629,3,2,9,14536,8,5,1616,1629,270000
949,1776,3,2,7,14006,7,5,936,936,192500
950,1381,3,1,5,9360,6,7,1161,1381,197500
951,864,3,1,5,7200,5,8,864,864,129000
952,965,3,1,6,7800,5,5,828,965,119900
953,768,2,1,5,7200,5,8,768,768,133900
954,1968,4,2,7,11075,5,4,784,1168,172000
955,980,4,2,4,9400,6,5,945,980,127500
956,1958,4,2,8,7136,6,6,979,979,145000
957,1229,2,1,5,1300,6,6,561,561,124000
958,1057,3,1,6,7420,5,5,1057,1057,132000
959,1337,3,2,6,8450,7,5,1337,1337,185000
960,1416,3,2,6,2572,7,5,696,696,155000
961,858,2,1,4,7207,5,7,858,858,116500
962,2872,4,2,11,12227,6,7,1330,1542,272000
963,1548,3,2,7,2308,6,6,804,804,155000
964,1800,2,2,7,11923,9,5,1800,1800,239000
965,1894,4,2,8,11316,7,5,817,824,214900
966,1484,3,2,8,10237,6,5,783,783,178900
967,1308,2,1,7,9600,5,7,728,976,160000
968,1098,3,1,6,7390,5,7,1098,1098,135000
969,968,2,1,6,5925,3,6,600,600,37900
970,1095,2,1,6,10382,6,5,588,1095,140000
971,1192,4,1,6,10800,4,4,720,720,135000
972,1626,2,2,6,2268,7,5,764,764,173000
973,918,2,2,5,7892,6,5,918,918,99500
974,1428,3,2,6,11639,7,5,1428,1428,182000
975,2019,3,1,8,11414,7,8,728,1136,167500
976,1382,3,2,6,2651,7,5,673,673,165000
977,869,2,1,4,5900,4,7,440,869,85500
978,1241,1,1,4,4274,7,5,1241,1241,199900
979,894,3,1,5,9450,4,5,894,894,110000
980,1121,3,1,5,8816,5,6,1121,1121,139000
